인덱스번호,카페이름,url
48,스타벅스 건대후문점,"https://map.naver.com/p/search/건대입구 카페/place/1198483581?c=15.00,0,0,0,dh&placePath=/review"
49,리셋커피 아일랜드,"https://map.naver.com/p/search/건대입구 카페/place/1637087338?c=15.00,0,0,0,dh&placePath=/review"
50,"브렛서울카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/1195210011?c=15.00,0,0,0,dh&placePath=/review"
51,투썸플레이스 건대입구점카페,"https://map.naver.com/p/search/건대입구 카페/place/36262946?c=15.00,0,0,0,dh&placePath=/review"
52,"차유카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/1438828528?c=15.00,0,0,0,dh&placePath=/review"
53,스타벅스 성수낙낙점,"https://map.naver.com/p/search/건대입구 카페/place/1436742203?c=15.00,0,0,0,dh&placePath=/review"
54,카공족 어린이대공원역점스터디카페,"https://map.naver.com/p/search/건대입구 카페/place/1618293502?c=15.00,0,0,0,dh&placePath=/review"
55,세이케이크,"https://map.naver.com/p/search/건대입구 카페/place/1275697204?c=15.00,0,0,0,dh&placePath=/review"
56,디저트39 건대점,"https://map.naver.com/p/search/건대입구 카페/place/1850222820?c=15.00,0,0,0,dh&placePath=/review"
57,"카페 아르무아카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/1872641035?c=15.00,0,0,0,dh&placePath=/review"
58,메가MGC커피 건대입구역점카페,"https://map.naver.com/p/search/건대입구 카페/place/1403694577?c=15.00,0,0,0,dh&placePath=/review"
59,에이콥베이커리 롯데백화점 건대스타시티점,"https://map.naver.com/p/search/건대입구 카페/place/1056828954?c=15.00,0,0,0,dh&placePath=/review"
60,콩카페 서울건대점,"https://map.naver.com/p/search/건대입구 카페/place/1851938054?c=15.00,0,0,0,dh&placePath=/review"
61,두아트 서울카페,"https://map.naver.com/p/search/건대입구 카페/place/1210340261?c=15.00,0,0,0,dh&placePath=/review"
62,뺑드램베이커리,"https://map.naver.com/p/search/건대입구 카페/place/1196731985?c=15.00,0,0,0,dh&placePath=/review"
63,"로스터리 엔오알엠카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/1865564928?c=15.00,0,0,0,dh&placePath=/review"
64,메가MGC커피 어린이대공원역점카페,"https://map.naver.com/p/search/건대입구 카페/place/1694999390?c=15.00,0,0,0,dh&placePath=/review"
65,스타벅스 구의역점,"https://map.naver.com/p/search/건대입구 카페/place/31316658?c=15.00,0,0,0,dh&placePath=/review"
66,투썸플레이스 건대스타시티카페,"https://map.naver.com/p/search/건대입구 카페/place/38514011?c=15.00,0,0,0,dh&placePath=/review"
67,공차 건대로데오점,"https://map.naver.com/p/search/건대입구 카페/place/35476444?c=15.00,0,0,0,dh&placePath=/review"
68,아오스요거트,"https://map.naver.com/p/search/건대입구 카페/place/1521571612?c=15.00,0,0,0,dh&placePath=/review"
69,보라롱베이크샵베이커리,"https://map.naver.com/p/search/건대입구 카페/place/1029126734?c=15.00,0,0,0,dh&placePath=/review"
70,고망고 건대점,"https://map.naver.com/p/search/건대입구 카페/place/1952115574?c=15.00,0,0,0,dh&placePath=/review"
71,"카우치포테이토카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/1749320559?c=15.00,0,0,0,dh&placePath=/review"
72,스타벅스 건국클래식점,"https://map.naver.com/p/search/건대입구 카페/place/31316663?c=15.00,0,0,0,dh&placePath=/review"
73,냥토피아 카페앤샵,"https://map.naver.com/p/search/건대입구 카페/place/1845676470?c=15.00,0,0,0,dh&placePath=/review"
74,"수완카페앤베이커리카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/1561565176?c=15.00,0,0,0,dh&placePath=/review"
75,쏘스윗 건대,"https://map.naver.com/p/search/건대입구 카페/place/1416409083?c=15.00,0,0,0,dh&placePath=/review"
76,사유정원,"https://map.naver.com/p/search/건대입구 카페/place/1365063896?c=15.00,0,0,0,dh&placePath=/review"
77,탐앤탐스 광진화양점카페,"https://map.naver.com/p/search/건대입구 카페/place/36948754?c=15.00,0,0,0,dh&placePath=/review"
78,띵똥와플 건국대점와플,"https://map.naver.com/p/search/건대입구 카페/place/36667869?c=15.00,0,0,0,dh&placePath=/review"
79,투썸플레이스 구의역점카페,"https://map.naver.com/p/search/건대입구 카페/place/1013575477?c=15.00,0,0,0,dh&placePath=/review"
80,"커피나인 건대카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/1796909469?c=15.00,0,0,0,dh&placePath=/review"
81,오버더레인보우,"https://map.naver.com/p/search/건대입구 카페/place/1763294195?c=15.00,0,0,0,dh&placePath=/review"
82,"베트남쌍둥이커피 건대본점카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/1495751463?c=15.00,0,0,0,dh&placePath=/review"
83,젠젠 롯데백화점 건대스타시티점,"https://map.naver.com/p/search/건대입구 카페/place/1170910331?c=15.00,0,0,0,dh&placePath=/review"
84,할리스 건대입구점카페,"https://map.naver.com/p/search/건대입구 카페/place/19407313?c=15.00,0,0,0,dh&placePath=/review"
85,스타벅스 자양사거리점,"https://map.naver.com/p/search/건대입구 카페/place/36241590?c=15.00,0,0,0,dh&placePath=/review"
86,메종드쁘띠푸르 커먼그라운드점베이커리,"https://map.naver.com/p/search/건대입구 카페/place/1050241176?c=15.00,0,0,0,dh&placePath=/review"
87,츄로' S Coffee&lce cream,"https://map.naver.com/p/search/건대입구 카페/place/1105907655?c=15.00,0,0,0,dh&placePath=/review"
88,와플대학 구의 캠퍼스,"https://map.naver.com/p/search/건대입구 카페/place/1753089925?c=15.00,0,0,0,dh&placePath=/review"
89,스택베이커리베이커리,"https://map.naver.com/p/search/건대입구 카페/place/1102751483?c=15.00,0,0,0,dh&placePath=/review"
90,"앤시넌카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/1952810669?c=15.00,0,0,0,dh&placePath=/review"
91,설빙 세종대점,"https://map.naver.com/p/search/건대입구 카페/place/1380520449?c=15.00,0,0,0,dh&placePath=/review"
92,"카페704호카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/1767198112?c=15.00,0,0,0,dh&placePath=/review"
93,기미사 성수,"https://map.naver.com/p/search/건대입구 카페/place/1088009411?c=15.00,0,0,0,dh&placePath=/review"
94,러프러프,"https://map.naver.com/p/search/건대입구 카페/place/1829908685?c=15.00,0,0,0,dh&placePath=/review"
95,공차 어린이대공원역점,"https://map.naver.com/p/search/건대입구 카페/place/1164988300?c=15.00,0,0,0,dh&placePath=/review"
96,컴포즈커피 건대스타시티몰점카페,"https://map.naver.com/p/search/건대입구 카페/place/1399215515?c=15.00,0,0,0,dh&placePath=/review"
97,메가MGC커피 신자초사거리점,"https://map.naver.com/p/search/건대입구 카페/place/1760304801?c=15.00,0,0,0,dh&placePath=/review"
98,원플레이 건대점,"https://map.naver.com/p/search/건대입구 카페/place/1795595663?c=15.00,0,0,0,dh&placePath=/review"
99,비엔나227 건대스타시티직영점,"https://map.naver.com/p/search/건대입구 카페/place/1004182171?c=15.00,0,0,0,dh&placePath=/review"
100,애드앤드,"https://map.naver.com/p/search/건대입구 카페/place/1506430135?c=15.00,0,0,0,dh&placePath=/review"
101,초초하우스베이커리,"https://map.naver.com/p/search/건대입구 카페/place/1808660812?c=15.00,0,0,0,dh&placePath=/review"
102,"테이큰커피카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/1884958488?c=15.00,0,0,0,dh&placePath=/review"
103,최가커피 자양점,"https://map.naver.com/p/search/건대입구 카페/place/36836091?c=15.00,0,0,0,dh&placePath=/review"
104,레스또 커피,"https://map.naver.com/p/search/건대입구 카페/place/1154955342?c=15.00,0,0,0,dh&placePath=/review"
